Pais;Anio;EsperanzaVida;Medicos;Alcohol;GastoSocial
FRA;2000;75.4;3.26;13.9;27.495
FRA;2001;75.5;3.29;14.1;27.517
FRA;2002;75.8;3.31;13.9;28.248
FRA;2003;75.8;3.32;13.4;28.611
FRA;2004;76.7;3.34;13.1;28.685
FRA;2005;76.8;3.34;12.9;28.694
FRA;2006;77.4;3.33;13.1;28.127
FRA;2007;77.6;3.31;12.9;27.961
FRA;2008;77.9;3.31;12.5;28.196
FRA;2009;78;3.27;12.6;30.544
FRA;2010;78.3;3.27;12.3;30.664
FRA;2011;78.8;3.31;12.4;30.468
FRA;2012;78.7;3.32;12.2;31.03
FRA;2013;79;3.32;11.6;31.493
FRA;2014;79.5;3.34;12;31.938
FRA;2015;79.2;3.34;11.9;31.685
ISL;2000;77.8;3.44;6.2;14.631
ISL;2001;78.3;3.47;6.4;14.692
ISL;2002;78.6;3.58;6.6;16.134
ISL;2003;79.5;3.62;6.6;17.16
ISL;2004;78.9;3.62;6.8;16.779
ISL;2005;79.6;3.61;7.1;15.893
ISL;2006;79.5;3.6;7.2;15.506
ISL;2007;79.6;3.61;7.5;14.64
ISL;2008;80;3.64;7.2;15.17
ISL;2009;79.8;3.65;7.2;17.404
ISL;2010;79.8;3.59;6.8;16.996
ISL;2011;80.7;3.5;6.8;17.241
ISL;2012;81.6;3.56;6.8;16.995
ISL;2013;80.5;3.61;6.8;16.603
ISL;2014;81.3;3.64;7;16.677
ISL;2015;81.2;3.78;7.7;15.674
KOR;2000;72.3;1.3;8.9;4.525
KOR;2001;72.9;1.39;8.5;4.925
KOR;2002;73.4;1.49;9.2;4.793
KOR;2003;73.8;1.57;9.3;5.063
KOR;2004;74.3;1.56;9.3;5.722
KOR;2005;74.9;1.63;9;6.115
KOR;2006;75.4;1.69;9.2;7.006
KOR;2007;75.9;1.73;9.3;7.125
KOR;2008;76.2;1.85;9.5;7.65
KOR;2009;76.7;1.92;8.9;8.527
KOR;2010;76.8;1.98;9;8.283
KOR;2011;77.3;2.03;8.9;8.24
KOR;2012;77.6;2.07;9.1;8.822
KOR;2013;78.1;2.16;8.7;9.332
KOR;2014;78.6;2.2;8.9;9.718
KOR;2015;79;2.24;9.1;10.108
NZL;2000;75.9;2.23;8.9;18.457
NZL;2001;76.3;2.19;8.7;17.825
NZL;2002;76.7;2.13;9.1;18.171
NZL;2003;77;2.17;8.9;17.682
NZL;2004;77.4;2.19;9.1;17.38
NZL;2005;77.7;2.11;9.3;17.809
NZL;2006;78;2.27;9.3;18.523
NZL;2007;78.2;2.3;9.2;18.104
NZL;2008;78.4;2.46;9.5;19.347
NZL;2009;78.7;2.58;9.3;20.406
NZL;2010;78.9;2.62;9.6;20.251
NZL;2011;79.1;2.65;9.5;19.871
NZL;2012;79.3;2.72;9.2;19.903
NZL;2013;79.5;2.83;9.2;19.275
NZL;2014;79.7;2.84;9.1;19.371
NZL;2015;79.9;3.02;8.7;19.667
NOR;2000;76;3.38;5.7;20.402
NOR;2001;76.2;3.54;5.5;21.231
NOR;2002;76.4;3.27;5.9;22.722
NOR;2003;77.1;3.28;6;23.655
NOR;2004;77.6;3.44;6.2;22.296
NOR;2005;77.8;3.62;6.4;20.749
NOR;2006;78.2;3.79;6.5;19.489
NOR;2007;78.3;3.9;6.6;19.608
NOR;2008;78.4;4;6.8;19.152
NOR;2009;78.7;4.05;6.7;22.287
NOR;2010;79;4.11;6.6;21.916
NOR;2011;79.1;4.19;6.4;21.41
NOR;2012;79.5;4.23;6.2;21.34
NOR;2013;79.8;4.31;6.2;21.765
NOR;2014;80.1;4.43;6.1;22.448
NOR;2015;80.5;4.4;6;23.909
POL;2000;69.6;2.22;8.4;20.221
POL;2001;70;2.27;7.8;21.754
POL;2002;70.3;2.3;8.1;22.04
POL;2003;70.5;2.43;9.1;21.997
POL;2004;70.6;2.29;9.2;21.236
POL;2005;70.8;2.14;9.1;20.878
POL;2006;70.9;2.18;9.9;20.584
POL;2007;71;2.19;10.3;19.42
POL;2008;71.3;2.16;10.8;20.233
POL;2009;71.5;2.17;10.2;21.349
POL;2010;72.2;2.19;10;20.632
POL;2011;72.5;2.21;10.3;19.445
POL;2012;72.6;2.23;10.2;19.031
POL;2013;73;2.24;10.8;19.57
POL;2014;73.7;2.31;10.5;19.489
POL;2015;73.5;2.33;10.5;19.419
SVK;2000;69.2;3.35;11;17.55
SVK;2001;69.5;3.35;10.8;17.258
SVK;2002;69.8;3.33;10.8;17.412
SVK;2003;69.8;3.29;9.9;16.649
SVK;2004;70.3;3.32;10.1;15.924
SVK;2005;70.2;3.04;11;15.834
SVK;2006;70.4;3.17;10.6;15.572
SVK;2007;70.6;3.39;10.7;15.324
SVK;2008;70.9;3.37;11.2;15.375
SVK;2009;71.4;3.3;10.7;18.258
SVK;2010;71.8;3.36;10.1;18.051
SVK;2011;72.3;3.31;10.2;17.734
SVK;2012;72.5;3.36;10.1;17.91
SVK;2013;72.9;3.39;9.9;18.103
SVK;2014;73.3;3.43;10.1;19.318
SVK;2015;73.1;3.45;10.2;19.408
GBR;2000;75.5;1.96;10.4;17.706
GBR;2001;75.8;2.01;10.8;18.526
GBR;2002;76;2.08;11.1;18.584
GBR;2003;76.2;2.17;11.3;19.003
GBR;2004;76.8;2.31;11.6;19.496
GBR;2005;77;2.39;11.4;19.408
GBR;2006;77.3;2.44;11;19.237
GBR;2007;77.6;2.47;11.1;19.526
GBR;2008;77.7;2.56;10.8;20.882
GBR;2009;78.3;2.65;10.1;22.977
GBR;2010;78.6;2.7;10.1;22.785
GBR;2011;79;2.74;9.9;22.435
GBR;2012;79.1;2.75;9.6;22.495
GBR;2013;79.2;2.77;9.4;21.874
GBR;2014;79.5;2.79;9.4;21.58
GBR;2015;79.2;2.79;9.5;21.502
EST;2000;65.6;3.13;7.9;13.816
EST;2001;65.2;3.06;9.2;13.027
EST;2002;65.6;3.09;12;12.792
EST;2003;66.4;3.12;11.8;12.918
EST;2004;66.7;3.18;11.5;13.408
EST;2005;67.6;3.15;13;12.97
EST;2006;67.6;3.18;13.4;12.551
EST;2007;67.5;3.26;14.8;12.574
EST;2008;68.9;3.34;14.2;15.4
EST;2009;70;3.28;11.9;19.589
EST;2010;70.9;3.24;11.4;18.321
EST;2011;71.4;3.29;12;16.333
EST;2012;71.4;3.28;12.1;15.853
EST;2013;72.8;3.28;11.9;15.871
EST;2014;72.4;3.32;11.1;15.977
EST;2015;73.2;3.42;10.3;17.037
SVN;2000;72.2;2.15;11.2;22.372
SVN;2001;72.3;2.17;13;22.489
SVN;2002;72.6;2.23;11.6;22.25
SVN;2003;72.5;2.25;11.2;21.889
SVN;2004;73.5;2.3;13.5;21.516
SVN;2005;73.9;2.35;10.3;21.441
SVN;2006;74.5;2.36;12.2;21.07
SVN;2007;74.6;2.39;11;19.719
SVN;2008;75.5;2.4;11;19.867
SVN;2009;75.9;2.41;10.5;22.483
SVN;2010;76.4;2.43;10.3;23.397
SVN;2011;76.8;2.49;10.6;23.511
SVN;2012;77.1;2.54;11;23.597
SVN;2013;77.2;2.63;9.5;23.978
SVN;2014;78.2;2.77;10.9;23.081
SVN;2015;77.8;2.83;11.5;22.362